date,source,medium,campaign,device_category,sessions,page_views,conversions,revenue,session_duration,new_users,cvr_per_session,cvr_per_pageview,arpu,avg_session_duration,avg_pages_per_session,new_user_rate
2023-06-01,Direct,Direct,Spring Promo,Desktop,1,4,0,0,390,1,0.0000,0.0000,0.0000,390.0000,4.0000,1.0000
2023-06-01,Direct,Direct,Spring Promo,Mobile,3,12,4,437,738,2,1.3333,0.3333,145.6667,246.0000,4.0000,0.6667
2023-06-01,Direct,Direct,Spring Promo,Tablet,1,9,0,0,534,1,0.0000,0.0000,0.0000,534.0000,9.0000,1.0000
2023-06-01,Direct,Direct,Summer Sale,Desktop,1,10,0,0,595,0,0.0000,0.0000,0.0000,595.0000,10.0000,0.0000
2023-06-01,Direct,Direct,Summer Sale,Tablet,4,29,2,257,999,1,0.5000,0.0690,64.2500,249.7500,7.2500,0.2500
2023-06-01,Direct,Direct,Winter Campaign,Desktop,2,20,4,410,854,1,2.0000,0.2000,205.0000,427.0000,10.0000,0.5000
2023-06-01,Direct,Direct,Winter Campaign,Mobile,2,10,3,216,381,2,1.5000,0.3000,108.0000,190.5000,5.0000,1.0000
2023-06-01,Direct,Direct,Winter Campaign,Tablet,2,9,4,353,933,1,2.0000,0.4444,176.5000,466.5000,4.5000,0.5000
2023-06-01,Direct,Direct,,Desktop,1,1,3,348,452,1,3.0000,3.0000,348.0000,452.0000,1.0000,1.0000
2023-06-01,Direct,Direct,,Mobile,2,7,1,147,633,1,0.5000,0.1429,73.5000,316.5000,3.5000,0.5000
2023-06-01,Direct,Direct,,Tablet,1,7,0,0,274,1,0.0000,0.0000,0.0000,274.0000,7.0000,1.0000
2023-06-01,Direct,Organic Search,Spring Promo,Desktop,3,17,5,566,1541,0,1.6667,0.2941,188.6667,513.6667,5.6667,0.0000
2023-06-01,Direct,Organic Search,Spring Promo,Mobile,1,8,1,86,440,0,1.0000,0.1250,86.0000,440.0000,8.0000,0.0000
2023-06-01,Direct,Organic Search,Spring Promo,Tablet,1,5,0,0,574,1,0.0000,0.0000,0.0000,574.0000,5.0000,1.0000
2023-06-01,Direct,Organic Search,Summer Sale,Desktop,1,4,1,54,160,0,1.0000,0.2500,54.0000,160.0000,4.0000,0.0000
2023-06-01,Direct,Organic Search,Summer Sale,Mobile,1,8,3,339,158,1,3.0000,0.3750,339.0000,158.0000,8.0000,1.0000
2023-06-01,Direct,Organic Search,Summer Sale,Tablet,1,8,2,186,454,1,2.0000,0.2500,186.0000,454.0000,8.0000,1.0000
2023-06-01,Direct,Organic Search,Winter Campaign,Desktop,1,10,1,77,486,1,1.0000,0.1000,77.0000,486.0000,10.0000,1.0000
2023-06-01,Direct,Organic Search,Winter Campaign,Mobile,1,2,3,294,91,1,3.0000,1.5000,294.0000,91.0000,2.0000,1.0000
2023-06-01,Direct,Organic Search,Winter Campaign,Tablet,1,2,3,375,516,1,3.0000,1.5000,375.0000,516.0000,2.0000,1.0000
2023-06-01,Direct,Organic Search,,Desktop,2,19,3,315,550,2,1.5000,0.1579,157.5000,275.0000,9.5000,1.0000
2023-06-01,Direct,Organic Search,,Tablet,3,18,6,632,499,1,2.0000,0.3333,210.6667,166.3333,6.0000,0.3333
2023-06-01,Direct,Referral,Spring Promo,Desktop,3,23,7,591,1140,0,2.3333,0.3043,197.0000,380.0000,7.6667,0.0000
2023-06-01,Direct,Referral,Spring Promo,Tablet,2,6,2,284,1030,2,1.0000,0.3333,142.0000,515.0000,3.0000,1.0000
2023-06-01,Direct,Referral,Summer Sale,Desktop,1,1,0,0,376,0,0.0000,0.0000,0.0000,376.0000,1.0000,0.0000
2023-06-01,Direct,Referral,Summer Sale,Mobile,1,5,3,381,96,0,3.0000,0.6000,381.0000,96.0000,5.0000,0.0000
2023-06-01,Direct,Referral,Summer Sale,Tablet,3,23,5,486,851,1,1.6667,0.2174,162.0000,283.6667,7.6667,0.3333
2023-06-01,Direct,Referral,Winter Campaign,Desktop,2,16,3,185,732,1,1.5000,0.1875,92.5000,366.0000,8.0000,0.5000
2023-06-01,Direct,Referral,Winter Campaign,Tablet,1,9,2,122,368,0,2.0000,0.2222,122.0000,368.0000,9.0000,0.0000
2023-06-01,Direct,Referral,,Desktop,1,5,3,426,264,1,3.0000,0.6000,426.0000,264.0000,5.0000,1.0000
2023-06-01,Direct,Social Media,Spring Promo,Mobile,2,20,3,289,764,2,1.5000,0.1500,144.5000,382.0000,10.0000,1.0000
2023-06-01,Direct,Social Media,Summer Sale,Desktop,3,15,2,236,1119,2,0.6667,0.1333,78.6667,373.0000,5.0000,0.6667
2023-06-01,Direct,Social Media,Summer Sale,Mobile,1,3,0,0,83,0,0.0000,0.0000,0.0000,83.0000,3.0000,0.0000
2023-06-01,Direct,Social Media,Summer Sale,Tablet,4,17,6,731,1017,0,1.5000,0.3529,182.7500,254.2500,4.2500,0.0000
2023-06-01,Direct,Social Media,Winter Campaign,Desktop,1,2,2,280,172,0,2.0000,1.0000,280.0000,172.0000,2.0000,0.0000
2023-06-01,Direct,Social Media,Winter Campaign,Mobile,1,3,1,117,271,0,1.0000,0.3333,117.0000,271.0000,3.0000,0.0000
2023-06-01,Direct,Social Media,Winter Campaign,Tablet,4,24,4,272,1343,3,1.0000,0.1667,68.0000,335.7500,6.0000,0.7500
2023-06-01,Direct,Social Media,,Desktop,1,5,0,0,468,0,0.0000,0.0000,0.0000,468.0000,5.0000,0.0000
2023-06-01,Direct,Social Media,,Tablet,5,19,11,1041,999,1,2.2000,0.5789,208.2000,199.8000,3.8000,0.2000
2023-06-01,Organic,Direct,Spring Promo,Desktop,4,23,4,248,1516,2,1.0000,0.1739,62.0000,379.0000,5.7500,0.5000
2023-06-01,Organic,Direct,Spring Promo,Mobile,2,3,2,197,819,1,1.0000,0.6667,98.5000,409.5000,1.5000,0.5000
2023-06-01,Organic,Direct,Summer Sale,Mobile,1,8,3,249,582,1,3.0000,0.3750,249.0000,582.0000,8.0000,1.0000
2023-06-01,Organic,Direct,Winter Campaign,Desktop,3,14,5,466,709,3,1.6667,0.3571,155.3333,236.3333,4.6667,1.0000
2023-06-01,Organic,Direct,Winter Campaign,Mobile,2,17,3,330,486,1,1.5000,0.1765,165.0000,243.0000,8.5000,0.5000
2023-06-01,Organic,Direct,Winter Campaign,Tablet,4,16,8,959,1411,4,2.0000,0.5000,239.7500,352.7500,4.0000,1.0000
2023-06-01,Organic,Direct,,Desktop,5,22,9,678,1459,2,1.8000,0.4091,135.6000,291.8000,4.4000,0.4000
2023-06-01,Organic,Direct,,Mobile,1,10,2,282,109,0,2.0000,0.2000,282.0000,109.0000,10.0000,0.0000
2023-06-01,Organic,Direct,,Tablet,2,7,4,436,618,1,2.0000,0.5714,218.0000,309.0000,3.5000,0.5000
2023-06-01,Organic,Organic Search,Spring Promo,Desktop,1,6,2,104,504,1,2.0000,0.3333,104.0000,504.0000,6.0000,1.0000
2023-06-01,Organic,Organic Search,Spring Promo,Mobile,2,10,4,382,698,0,2.0000,0.4000,191.0000,349.0000,5.0000,0.0000
2023-06-01,Organic,Organic Search,Spring Promo,Tablet,3,28,4,462,1402,2,1.3333,0.1429,154.0000,467.3333,9.3333,0.6667
2023-06-01,Organic,Organic Search,Summer Sale,Tablet,5,31,11,1002,2192,2,2.2000,0.3548,200.4000,438.4000,6.2000,0.4000
2023-06-01,Organic,Organic Search,Winter Campaign,Desktop,1,3,1,148,195,0,1.0000,0.3333,148.0000,195.0000,3.0000,0.0000
2023-06-01,Organic,Organic Search,Winter Campaign,Mobile,6,44,13,1116,1293,1,2.1667,0.2955,186.0000,215.5000,7.3333,0.1667
2023-06-01,Organic,Organic Search,Winter Campaign,Tablet,3,7,4,542,1019,2,1.3333,0.5714,180.6667,339.6667,2.3333,0.6667
2023-06-01,Organic,Organic Search,,Mobile,3,8,6,432,1245,3,2.0000,0.7500,144.0000,415.0000,2.6667,1.0000
2023-06-01,Organic,Referral,Spring Promo,Desktop,1,3,0,0,458,0,0.0000,0.0000,0.0000,458.0000,3.0000,0.0000
2023-06-01,Organic,Referral,Spring Promo,Mobile,3,19,4,419,755,1,1.3333,0.2105,139.6667,251.6667,6.3333,0.3333
2023-06-01,Organic,Referral,Summer Sale,Desktop,2,16,3,444,305,1,1.5000,0.1875,222.0000,152.5000,8.0000,0.5000
2023-06-01,Organic,Referral,Summer Sale,Tablet,3,24,4,394,794,2,1.3333,0.1667,131.3333,264.6667,8.0000,0.6667
2023-06-01,Organic,Referral,Winter Campaign,Desktop,1,9,2,246,280,1,2.0000,0.2222,246.0000,280.0000,9.0000,1.0000
2023-06-01,Organic,Referral,Winter Campaign,Mobile,2,13,2,104,437,1,1.0000,0.1538,52.0000,218.5000,6.5000,0.5000
2023-06-01,Organic,Referral,,Mobile,2,11,2,175,528,1,1.0000,0.1818,87.5000,264.0000,5.5000,0.5000
2023-06-01,Organic,Referral,,Tablet,1,5,3,312,433,1,3.0000,0.6000,312.0000,433.0000,5.0000,1.0000
2023-06-01,Organic,Social Media,Spring Promo,Mobile,2,10,6,753,824,1,3.0000,0.6000,376.5000,412.0000,5.0000,0.5000
2023-06-01,Organic,Social Media,Summer Sale,Desktop,3,16,5,548,782,2,1.6667,0.3125,182.6667,260.6667,5.3333,0.6667
2023-06-01,Organic,Social Media,Summer Sale,Mobile,1,9,1,106,397,0,1.0000,0.1111,106.0000,397.0000,9.0000,0.0000
2023-06-01,Organic,Social Media,Summer Sale,Tablet,1,7,1,65,176,0,1.0000,0.1429,65.0000,176.0000,7.0000,0.0000
2023-06-01,Organic,Social Media,Winter Campaign,Mobile,3,24,2,276,1429,1,0.6667,0.0833,92.0000,476.3333,8.0000,0.3333
2023-06-01,Organic,Social Media,Winter Campaign,Tablet,3,16,2,116,603,2,0.6667,0.1250,38.6667,201.0000,5.3333,0.6667
2023-06-01,Organic,Social Media,,Desktop,2,11,2,282,874,0,1.0000,0.1818,141.0000,437.0000,5.5000,0.0000
2023-06-01,Organic,Social Media,,Mobile,2,5,3,319,861,2,1.5000,0.6000,159.5000,430.5000,2.5000,1.0000
2023-06-01,Referral,Direct,Spring Promo,Desktop,2,5,1,74,727,1,0.5000,0.2000,37.0000,363.5000,2.5000,0.5000
2023-06-01,Referral,Direct,Spring Promo,Mobile,4,27,11,1135,1342,2,2.7500,0.4074,283.7500,335.5000,6.7500,0.5000
2023-06-01,Referral,Direct,Spring Promo,Tablet,2,5,6,615,713,0,3.0000,1.2000,307.5000,356.5000,2.5000,0.0000
2023-06-01,Referral,Direct,Summer Sale,Desktop,3,14,6,729,868,2,2.0000,0.4286,243.0000,289.3333,4.6667,0.6667
