date,user_id,session_duration,page_views,source,medium,campaign,device_category,country,new_user,conversions,revenue,conversion_rate,arpu,revenue_per_session,engagement_rate,sessions
2023-06-06,1,448,7,Referral,Direct,Spring Promo,Tablet,USA,1,2,124,0.2857142857142857,124.0,124.0,0.015625,1
2023-06-19,2,94,1,Referral,Social Media,Summer Sale,Desktop,India,1,1,130,1.0,130.0,130.0,0.010638297872340425,1
2023-06-29,3,595,6,Direct,Referral,Winter Campaign,Tablet,India,1,1,136,0.16666666666666666,136.0,136.0,0.010084033613445379,1
2023-06-01,4,263,9,Social,Organic Search,,Tablet,Australia,1,0,0,0.0,0.0,0.0,0.034220532319391636,1
2023-06-30,5,242,1,Referral,Referral,Spring Promo,Tablet,USA,0,0,0,0.0,0.0,0.0,0.004132231404958678,1
2023-06-30,6,421,6,Organic,Direct,Summer Sale,Desktop,Germany,1,3,318,0.5,318.0,318.0,0.014251781472684086,1
2023-06-21,7,359,6,Referral,Direct,Summer Sale,Desktop,Canada,0,1,67,0.16666666666666666,67.0,67.0,0.016713091922005572,1
2023-06-20,8,448,9,Organic,Direct,,Desktop,Germany,1,3,315,0.3333333333333333,315.0,315.0,0.020089285714285716,1
2023-06-07,9,185,8,Referral,Referral,Winter Campaign,Desktop,Canada,1,1,59,0.125,59.0,59.0,0.043243243243243246,1
2023-06-08,10,379,3,Direct,Social Media,Winter Campaign,Mobile,India,1,3,339,1.0,339.0,339.0,0.0079155672823219,1
2023-06-16,11,218,10,Direct,Organic Search,,Desktop,USA,0,3,360,0.3,360.0,360.0,0.045871559633027525,1
2023-06-25,12,569,4,Organic,Referral,Winter Campaign,Tablet,Germany,0,0,0,0.0,0.0,0.0,0.007029876977152899,1
2023-06-10,13,561,5,Social,Referral,Summer Sale,Mobile,France,1,1,59,0.2,59.0,59.0,0.008912655971479501,1
2023-06-05,14,362,1,Referral,Organic Search,Summer Sale,Tablet,Canada,0,0,0,0.0,0.0,0.0,0.0027624309392265192,1
2023-06-11,15,197,10,Referral,Direct,,Tablet,Australia,0,0,0,0.0,0.0,0.0,0.050761421319796954,1
2023-06-26,16,152,7,Referral,Referral,,Desktop,India,1,1,145,0.14285714285714285,145.0,145.0,0.046052631578947366,1
2023-06-01,17,419,2,Social,Organic Search,Winter Campaign,Desktop,France,1,1,81,0.5,81.0,81.0,0.00477326968973747,1
2023-06-17,18,491,6,Social,Organic Search,Summer Sale,Desktop,Canada,0,0,0,0.0,0.0,0.0,0.012219959266802444,1
2023-06-02,19,328,9,Direct,Direct,Spring Promo,Tablet,Australia,0,0,0,0.0,0.0,0.0,0.027439024390243903,1
2023-06-08,20,83,9,Organic,Social Media,Winter Campaign,Desktop,Australia,0,0,0,0.0,0.0,0.0,0.10843373493975904,1
2023-06-25,21,161,7,Referral,Referral,Summer Sale,Tablet,UK,1,0,0,0.0,0.0,0.0,0.043478260869565216,1
2023-06-17,22,298,4,Social,Referral,Winter Campaign,Mobile,India,0,3,411,0.75,411.0,411.0,0.013422818791946308,1
2023-06-19,23,457,1,Social,Organic Search,Winter Campaign,Desktop,Germany,1,3,339,3.0,339.0,339.0,0.002188183807439825,1
2023-06-26,24,305,10,Social,Direct,Summer Sale,Tablet,Germany,1,1,88,0.1,88.0,88.0,0.03278688524590164,1
2023-06-11,25,284,10,Direct,Direct,Winter Campaign,Mobile,Australia,1,1,64,0.1,64.0,64.0,0.035211267605633804,1
2023-06-14,26,364,4,Organic,Referral,Spring Promo,Desktop,USA,1,2,208,0.5,208.0,208.0,0.01098901098901099,1
2023-06-07,27,508,3,Direct,Social Media,Summer Sale,Mobile,UK,1,2,170,0.6666666666666666,170.0,170.0,0.005905511811023622,1
2023-06-09,28,331,3,Direct,Organic Search,,Desktop,Australia,1,0,0,0.0,0.0,0.0,0.00906344410876133,1
2023-06-01,29,569,10,Organic,Organic Search,Summer Sale,Tablet,Germany,0,2,280,0.2,280.0,280.0,0.01757469244288225,1
2023-06-24,30,408,1,Direct,Direct,Winter Campaign,Tablet,France,1,1,99,1.0,99.0,99.0,0.0024509803921568627,1
2023-06-07,31,244,9,Referral,Direct,,Desktop,UK,1,3,378,0.3333333333333333,378.0,378.0,0.036885245901639344,1
2023-06-15,32,418,8,Social,Referral,Spring Promo,Tablet,USA,1,3,339,0.375,339.0,339.0,0.019138755980861243,1
2023-06-21,33,493,8,Direct,Referral,Spring Promo,Desktop,India,0,2,146,0.25,146.0,146.0,0.016227180527383367,1
2023-06-09,34,460,6,Referral,Referral,Spring Promo,Desktop,Australia,0,0,0,0.0,0.0,0.0,0.013043478260869565,1
2023-06-09,35,82,10,Organic,Organic Search,Winter Campaign,Desktop,Canada,0,0,0,0.0,0.0,0.0,0.12195121951219512,1
2023-06-25,36,429,1,Social,Social Media,Winter Campaign,Mobile,USA,1,3,432,3.0,432.0,432.0,0.002331002331002331,1
2023-06-25,37,421,8,Organic,Social Media,,Mobile,Germany,1,1,140,0.125,140.0,140.0,0.019002375296912115,1
2023-06-05,38,518,7,Social,Social Media,Summer Sale,Mobile,Canada,0,1,141,0.14285714285714285,141.0,141.0,0.013513513513513514,1
2023-06-27,39,494,8,Direct,Organic Search,,Desktop,Germany,1,0,0,0.0,0.0,0.0,0.016194331983805668,1
2023-06-05,40,255,5,Referral,Organic Search,Spring Promo,Tablet,UK,0,0,0,0.0,0.0,0.0,0.0196078431372549,1
2023-06-29,41,141,9,Referral,Social Media,,Mobile,India,1,1,130,0.1111111111111111,130.0,130.0,0.06382978723404255,1
2023-06-01,42,535,2,Direct,Organic Search,Spring Promo,Desktop,Australia,0,1,86,0.5,86.0,86.0,0.003738317757009346,1
2023-06-01,43,402,3,Organic,Direct,Spring Promo,Desktop,UK,1,2,128,0.6666666666666666,128.0,128.0,0.007462686567164179,1
2023-06-02,44,251,5,Referral,Direct,Summer Sale,Tablet,Canada,0,1,64,0.2,64.0,64.0,0.0199203187250996,1
2023-06-16,45,318,9,Direct,Direct,Winter Campaign,Desktop,Canada,0,1,77,0.1111111111111111,77.0,77.0,0.02830188679245283,1
2023-06-24,46,302,10,Social,Social Media,,Desktop,UK,0,2,284,0.2,284.0,284.0,0.033112582781456956,1
2023-06-16,47,131,9,Organic,Referral,Winter Campaign,Desktop,France,1,0,0,0.0,0.0,0.0,0.06870229007633588,1
2023-06-21,48,288,6,Organic,Referral,Spring Promo,Tablet,UK,0,3,267,0.5,267.0,267.0,0.020833333333333332,1
2023-06-16,49,142,6,Organic,Organic Search,,Mobile,France,0,2,132,0.3333333333333333,132.0,132.0,0.04225352112676056,1
2023-06-03,50,322,1,Referral,Direct,Summer Sale,Desktop,Canada,0,0,0,0.0,0.0,0.0,0.003105590062111801,1
2023-06-06,51,549,6,Social,Social Media,Summer Sale,Mobile,Canada,1,1,88,0.16666666666666666,88.0,88.0,0.01092896174863388,1
2023-06-02,52,109,6,Referral,Direct,Summer Sale,Mobile,Australia,0,3,336,0.5,336.0,336.0,0.05504587155963303,1
2023-06-20,53,397,8,Direct,Direct,Summer Sale,Mobile,India,1,1,86,0.125,86.0,86.0,0.020151133501259445,1
2023-06-24,54,568,6,Social,Direct,Summer Sale,Desktop,France,1,2,230,0.3333333333333333,230.0,230.0,0.01056338028169014,1
2023-06-18,55,326,9,Social,Organic Search,Winter Campaign,Mobile,USA,0,1,117,0.1111111111111111,117.0,117.0,0.027607361963190184,1
2023-06-10,56,531,4,Organic,Organic Search,Spring Promo,Mobile,Australia,1,3,396,0.75,396.0,396.0,0.007532956685499058,1
2023-06-16,57,140,5,Social,Direct,Summer Sale,Desktop,USA,0,3,342,0.6,342.0,342.0,0.03571428571428571,1
2023-06-24,58,474,5,Social,Social Media,Spring Promo,Mobile,USA,0,2,104,0.4,104.0,104.0,0.010548523206751054,1
2023-06-29,59,272,5,Organic,Social Media,Winter Campaign,Desktop,Canada,1,3,234,0.6,234.0,234.0,0.01838235294117647,1
2023-06-05,60,160,3,Social,Direct,Spring Promo,Mobile,UK,1,1,126,0.3333333333333333,126.0,126.0,0.01875,1
2023-06-04,61,94,4,Referral,Social Media,Winter Campaign,Tablet,Australia,0,2,150,0.5,150.0,150.0,0.0425531914893617,1
2023-06-16,62,466,10,Direct,Referral,Summer Sale,Desktop,USA,0,0,0,0.0,0.0,0.0,0.02145922746781116,1
