campaign_id,product_id,budget,clicks,conversions,revenue_generated,roi,customer_id,subscription_tier,subscription_length,flash_sale_id,discount_level,units_sold,bundle_id,bundle_price,customer_satisfaction_post_refund,common_keywords,traffic_type
CMP_RLSDVN,PROD_HBJFA3,41770.4500,4946,73,15520.0900,1.9400,CUST_1K7G39,Premium,4,FLASH_1VFK5K,43,34,BNDL_29U6W5,433.8000,4,Affordable,Organic
CMP_JHHUE9,PROD_OE8YNJ,29900.9300,570,510,30866.1700,0.7600,CUST_0DWS6F,Premium,4,FLASH_1M6COK,28,97,BNDL_ULV60J,289.2900,2,Innovative,Social
CMP_6SBOWN,PROD_4V8A08,22367.4500,3546,265,32585.6200,1.4100,CUST_BR2GST,Basic,9,FLASH_J4PEON,51,160,BNDL_0HY0EF,462.8700,4,Affordable,Referral
CMP_Q31QCU,PROD_A1Q6ZB,29957.5400,2573,781,95740.1200,3.3200,CUST_6TBY6K,Premium,32,FLASH_1TOVXT,36,159,BNDL_AI09BC,334.1600,1,Durable,Referral
CMP_AY0UTJ,PROD_F57N66,36277.1900,818,79,81990.4300,3.5300,CUST_XASI45,Standard,29,FLASH_AOBHXL,20,52,BNDL_R03ITT,371.6700,2,Affordable,Organic
CMP_5F4E9W,PROD_2CF719,41159.7400,1259,763,65792.3000,0.7700,CUST_GH04I5,Basic,31,FLASH_9E2DOQ,17,88,BNDL_2AM8LH,194.9300,2,Affordable,Organic
CMP_WDWHH6,PROD_QN8SL7,32787.7100,3882,29,54205.7100,4.8400,CUST_TRQ4H8,Basic,9,FLASH_LS82UL,44,75,BNDL_XBACO2,232.0900,1,Stylish,Organic
CMP_JECPN0,PROD_FN0KK1,38372.9900,230,350,82083.1800,0.7400,CUST_XOGUSD,Premium,18,FLASH_V2S3TB,31,26,BNDL_EXVF5I,211.5900,4,Stylish,Direct
CMP_WWJQBU,PROD_12IBBU,13332.9600,4657,349,95260.1600,0.7500,CUST_5RON6U,Premium,2,FLASH_ILCNCW,29,78,BNDL_ZIETKV,495.9400,4,Affordable,Referral
CMP_G2GXC0,PROD_HBPOK5,33407.1800,3027,963,25569.4500,2.1500,CUST_VPSNHS,Basic,35,FLASH_PEQKQB,14,149,BNDL_MMC7NN,488.8200,2,Durable,Referral
CMP_COTQ6A,PROD_5TH0MN,11456.2200,4449,331,67630.5500,2.3700,CUST_FQ9NI5,Standard,33,FLASH_0JAK49,19,143,BNDL_HBLYHN,266.6100,2,Durable,Organic
CMP_QJG0E7,PROD_OUBE8M,43196.5100,3528,323,63178.8200,4.4200,CUST_Z76S5K,Standard,8,FLASH_DT3S2P,35,142,BNDL_VTKX1I,417.9700,3,Stylish,Social
CMP_QDIN64,PROD_IMDJIH,41208.2700,2385,326,62705.4700,4.9300,CUST_L86JDL,Premium,23,FLASH_DAX2UB,41,158,BNDL_BDVQUD,193.4100,2,Innovative,Direct
CMP_6EYKF8,PROD_QMDKTA,18180.1800,2659,642,10906.8700,3.9600,CUST_4T8DV2,Premium,32,FLASH_NN061T,34,40,BNDL_YYI2SP,361.6800,2,Innovative,Organic
CMP_3B83ZB,PROD_J71W0E,4189.1500,1087,790,82691.3400,3.4300,CUST_ZCNXN7,Standard,6,FLASH_EWJRGF,62,120,BNDL_GQ1LUF,298.4500,3,Stylish,Organic
CMP_HMY8JT,PROD_HB4HQ9,35505.0900,868,309,22019.0700,1.9800,CUST_A015S4,Standard,23,FLASH_VS103U,31,185,BNDL_JW9VJE,209.6000,4,Affordable,Organic
CMP_2TQ2R2,PROD_DV9KP8,4790.9900,2872,940,81902.9400,3.8500,CUST_67QGEO,Premium,28,FLASH_5YP5BG,59,64,BNDL_YME8D2,233.9300,2,Stylish,Organic
CMP_L4JQT7,PROD_IX0GZB,15891.2000,1582,706,38536.9500,4.1700,CUST_6XK9SH,Basic,24,FLASH_1NCFSM,16,102,BNDL_3DH9UA,199.0200,1,Stylish,Referral
CMP_E6LF3E,PROD_O4D7ED,13009.1700,1332,580,50091.1700,3.5100,CUST_O2FW1J,Basic,27,FLASH_D6C2I2,20,80,BNDL_8DJT78,154.4000,1,Affordable,Organic
CMP_56NUT9,PROD_HKCV8M,47193.2900,3585,791,56029.7300,1.5500,CUST_KI8W0Y,Premium,25,FLASH_3GF57H,59,106,BNDL_XTOKZ5,384.4400,1,Affordable,Organic
CMP_MTSCPC,PROD_I50ZPO,36564.6800,4331,108,46426.9300,1.2300,CUST_MQHTJY,Premium,21,FLASH_UX849D,31,177,BNDL_4EPPS3,410.3000,3,Durable,Referral
CMP_79B4D2,PROD_RNMDRM,37864.6800,1888,947,23255.8600,1.9400,CUST_J48W8R,Basic,14,FLASH_EPDH55,33,179,BNDL_EVPKVC,443.2400,4,Durable,Organic
CMP_R7NKS6,PROD_6J3P75,18632.1000,497,91,68453.1800,4.2500,CUST_PGXPFG,Basic,1,FLASH_787SYL,31,102,BNDL_D4KR0X,227.1100,3,Innovative,Organic
CMP_K56KCP,PROD_UI3FQD,38985.3900,3848,411,99186.5300,4.8600,CUST_3IR8Q2,Standard,6,FLASH_SZXBKS,10,137,BNDL_8E9R1S,252.0100,2,Affordable,Organic
CMP_AH9THQ,PROD_2Z434D,47081.6500,1816,129,54481.4800,1.1400,CUST_2JZ3V8,Basic,21,FLASH_VYH0TP,53,176,BNDL_S1DRLI,392.3600,4,Stylish,Referral
CMP_OVHUTO,PROD_2SXWO6,8809.3700,4867,385,8356.4100,2.8000,CUST_1HHY8V,Premium,10,FLASH_K3JYFS,63,72,BNDL_J2L1Z8,445.1500,3,Stylish,Direct
CMP_BK60GL,PROD_VXSLGY,37643.5000,3700,521,93046.2700,2.7100,CUST_15E44Q,Premium,28,FLASH_CYT033,68,197,BNDL_2405HF,201.4400,1,Affordable,Organic
CMP_BU8KJK,PROD_YAU41E,6806.2900,4039,352,45830.0300,4.2000,CUST_O1XI91,Basic,32,FLASH_JIELL8,21,41,BNDL_57NW0Q,119.9400,4,Durable,Referral
CMP_U5QFJH,PROD_MIE14F,39917.2900,1808,42,94641.5500,3.6800,CUST_FZLWY6,Standard,28,FLASH_8DGR0E,54,51,BNDL_RMMMWR,443.0800,2,Durable,Referral
CMP_Y5QZFB,PROD_NYD8HM,29926.8600,1946,349,24857.9200,4.0300,CUST_86CT16,Standard,2,FLASH_TNGRO6,18,155,BNDL_6KVIQE,343.2300,3,Affordable,Organic
CMP_T5NVJR,PROD_JG6XUM,18360.7700,3224,138,10462.1300,1.1900,CUST_V1H6F5,Standard,17,FLASH_X6Y9KO,49,12,BNDL_DQUD3P,472.5500,2,Innovative,Referral
CMP_HB48DO,PROD_8RK1I8,35293.0400,431,709,51133.0000,2.1100,CUST_9VG4PY,Standard,6,FLASH_D1BVZR,65,110,BNDL_LW1GHA,75.3900,3,Innovative,Organic
CMP_JGU6CL,PROD_EG6QA9,25309.0500,2240,251,28767.2900,1.9600,CUST_Z7UV7J,Premium,12,FLASH_8H13G4,48,75,BNDL_QRMG3Z,73.5100,2,Affordable,Organic
CMP_N2RDBI,PROD_OCZ0NI,16560.1200,2203,62,88344.5600,4.1500,CUST_AHWFJ9,Basic,6,FLASH_ZCTDJP,53,113,BNDL_JXR0CU,290.9800,3,Stylish,Social
CMP_3DZDCY,PROD_R5VE1H,38686.0600,3098,115,59161.5300,2.5300,CUST_4X7CB2,Standard,21,FLASH_2RHZRO,63,194,BNDL_XO23NL,134.1800,3,Innovative,Social
CMP_ZINYYP,PROD_YK2KUD,10936.7100,2719,29,5333.6200,2.9100,CUST_D7WHCT,Premium,19,FLASH_6BWLXK,36,21,BNDL_6MI23J,495.7300,4,Affordable,Direct
