campaign_id,product_id,budget,clicks,conversions,revenue_generated,roi,customer_id,subscription_tier,subscription_length,flash_sale_id,discount_level,units_sold,bundle_id,bundle_price,customer_satisfaction_post_refund,common_keywords,roas,roi_recalc,cpc,cpa,conversion_rate,revenue_per_click,avg_order_value
CMP_RLSDVN,PROD_HBJFA3,41770.4500,4946,73,15520.0900,1.9400,CUST_1K7G39,Premium,4,FLASH_1VFK5K,43,34,BNDL_29U6W5,433.8000,4,Affordable,0.3716,-0.6284,8.4453,572.1979,0.0148,3.1379,212.6040
CMP_JHHUE9,PROD_OE8YNJ,29900.9300,570,510,30866.1700,0.7600,CUST_0DWS6F,Premium,4,FLASH_1M6COK,28,97,BNDL_ULV60J,289.2900,2,Innovative,1.0323,0.0323,52.4578,58.6293,0.8947,54.1512,60.5219
CMP_6SBOWN,PROD_4V8A08,22367.4500,3546,265,32585.6200,1.4100,CUST_BR2GST,Basic,9,FLASH_J4PEON,51,160,BNDL_0HY0EF,462.8700,4,Affordable,1.4568,0.4568,6.3078,84.4055,0.0747,9.1894,122.9646
CMP_Q31QCU,PROD_A1Q6ZB,29957.5400,2573,781,95740.1200,3.3200,CUST_6TBY6K,Premium,32,FLASH_1TOVXT,36,159,BNDL_AI09BC,334.1600,1,Durable,3.1959,2.1959,11.6430,38.3579,0.3035,37.2095,122.5866
CMP_AY0UTJ,PROD_F57N66,36277.1900,818,79,81990.4300,3.5300,CUST_XASI45,Standard,29,FLASH_AOBHXL,20,52,BNDL_R03ITT,371.6700,2,Affordable,2.2601,1.2601,44.3486,459.2049,0.0966,100.2328,1037.8535
CMP_5F4E9W,PROD_2CF719,41159.7400,1259,763,65792.3000,0.7700,CUST_GH04I5,Basic,31,FLASH_9E2DOQ,17,88,BNDL_2AM8LH,194.9300,2,Affordable,1.5985,0.5985,32.6924,53.9446,0.6060,52.2576,86.2284
CMP_WDWHH6,PROD_QN8SL7,32787.7100,3882,29,54205.7100,4.8400,CUST_TRQ4H8,Basic,9,FLASH_LS82UL,44,75,BNDL_XBACO2,232.0900,1,Stylish,1.6532,0.6532,8.4461,1130.6107,0.0075,13.9633,1869.1624
CMP_JECPN0,PROD_FN0KK1,38372.9900,230,350,82083.1800,0.7400,CUST_XOGUSD,Premium,18,FLASH_V2S3TB,31,26,BNDL_EXVF5I,211.5900,4,Stylish,2.1391,1.1391,166.8391,109.6371,1.5217,356.8834,234.5234
CMP_WWJQBU,PROD_12IBBU,13332.9600,4657,349,95260.1600,0.7500,CUST_5RON6U,Premium,2,FLASH_ILCNCW,29,78,BNDL_ZIETKV,495.9400,4,Affordable,7.1447,6.1447,2.8630,38.2033,0.0749,20.4553,272.9517
CMP_G2GXC0,PROD_HBPOK5,33407.1800,3027,963,25569.4500,2.1500,CUST_VPSNHS,Basic,35,FLASH_PEQKQB,14,149,BNDL_MMC7NN,488.8200,2,Durable,0.7654,-0.2346,11.0364,34.6907,0.3181,8.4471,26.5519
