keyword,cpc,search_volume,competition,score,opp_score,intent
email marketing,1.7400,27100,low,0.4350,0.5063,generic
emailing marketing,1.7400,27100,low,0.4350,0.5063,generic
marketing emails,1.4400,22200,low,0.3600,0.5429,generic
email templates,0.9100,9900,low,0.2275,0.7302,transactional
what is email advertising,0.4900,6600,low,0.1225,0.8048,informational
what is email marketing,0.4900,6600,low,0.1225,0.8048,informational
email marketing tools,2.4300,5400,low,0.6075,0.4413,transactional
images of email,0.0000,3600,low,0.0000,1.0000,misc
email images,0.0000,3600,low,0.0000,1.0000,misc
image for email,0.0000,3600,low,0.0000,1.0000,misc
e mail marketing meaning,0.2200,1900,low,0.0550,0.7968,informational
email marketing examples,1.0200,1900,low,0.2550,0.6381,informational
email advertising examples,1.0200,1900,low,0.2550,0.6381,informational
email marketing example,1.0000,1900,low,0.2500,0.6635,generic
email marketing sample,1.0200,1900,low,0.2550,0.6381,informational
examples of email marketing,1.0200,1900,low,0.2550,0.6381,informational
marketing email examples,1.0200,1900,low,0.2550,0.6381,informational
email marketing meaning,0.2200,1900,low,0.0550,0.7968,informational
marketing email sample,1.0200,1900,low,0.2550,0.6381,informational
marketing email templates,1.0500,1900,low,0.2625,0.6032,transactional
email templates for marketing,1.0500,1900,low,0.2625,0.6032,transactional
email promotion template,1.0500,1900,low,0.2625,0.6032,transactional
email marketing template,1.6400,1900,low,0.4100,0.4794,transactional
marketing email template,1.0500,1900,low,0.2625,0.6032,transactional
email marketing templates,1.0500,1900,low,0.2625,0.6032,transactional
email campaign,2.6900,1600,low,0.6725,0.3397,transactional
email campaigns,2.6900,1600,low,0.6725,0.3397,transactional
jobs for email marketing,0.0700,1600,low,0.0175,0.8032,career
marketing email jobs,0.0700,1600,low,0.0175,0.8032,career
email advertising jobs,0.0700,1600,low,0.0175,0.8032,career
email marketing careers,0.0700,1600,low,0.0175,0.8032,career
careers in email marketing,0.0700,1600,low,0.0175,0.8032,career
email marketing tools free,1.6600,1600,low,0.4150,0.4190,transactional
free email marketing tools,1.6600,1600,low,0.4150,0.4190,transactional
free mailer,2.3700,1600,low,0.5925,0.3651,transactional
email marketing positions,0.0700,1600,low,0.0175,0.8032,career
jobs in email marketing,0.0700,1600,low,0.0175,0.8032,career
email marketing job,0.0700,1600,low,0.0175,0.8032,career
emailing campaign,2.6900,1600,low,0.6725,0.3397,transactional
email marketing jobs,0.0700,1600,low,0.0175,0.8032,career
email marketing platform,2.0200,1300,low,0.5050,0.3651,transactional
email marketing platforms,2.0200,1300,low,0.5050,0.3651,transactional
email marketing software,2.3600,1300,low,0.5900,0.3429,transactional
e mail marketing course,1.2500,1000,low,0.3125,0.4540,informational
email marketing definition,0.2500,1000,low,0.0625,0.6889,informational
free email marketing tool,2.7600,1000,low,0.6900,0.2698,transactional
courses on email marketing,1.2500,1000,low,0.3125,0.4540,informational
email-marketing course,1.2500,1000,low,0.3125,0.4540,informational
email marketing free tools,2.7600,1000,low,0.6900,0.2698,transactional
email marketing class,1.2500,1000,low,0.3125,0.4540,informational
email marketing in digital marketing,1.0000,1000,low,0.2500,0.5651,generic
email marketing course,1.2500,1000,low,0.3125,0.4540,informational
free tools for email marketing,2.7600,1000,low,0.6900,0.2698,transactional
best email marketing tools,3.3200,1000,low,0.8300,0.2381,transactional
email marketing strategies,1.4100,880,low,0.3525,0.3857,generic
marketing email strategy,1.4100,880,low,0.3525,0.3857,informational
how to do email marketing,0.9200,720,low,0.2300,0.5365,informational
email marketing pics,0.0000,720,low,0.0000,0.8286,misc
email marketing images,0.0000,720,low,0.0000,0.8286,misc
email marketing pictures,0.0000,720,low,0.0000,0.8286,misc
email campaign marketing,3.5100,720,low,0.8775,0.1683,transactional
marketing email campaign,3.5100,720,low,0.8775,0.1683,transactional
images of email marketing,0.0000,720,low,0.0000,0.8286,misc
email marketing campaign,2.0300,720,low,0.5075,0.2889,transactional
email marketing picture,0.0000,720,low,0.0000,0.8286,misc
images for email marketing,0.0000,720,low,0.0000,0.8286,misc
email marketing pic,0.0000,720,low,0.0000,0.8286,misc
email marketing campaigns,3.5100,720,low,0.8775,0.1683,transactional
images in email marketing,0.0000,720,low,0.0000,0.8286,misc
