campaign_id,product_id,budget,clicks,conversions,revenue_generated,roi,customer_id,subscription_tier,subscription_length,flash_sale_id,discount_level,units_sold,bundle_id,bundle_price,customer_satisfaction_post_refund,common_keywords,roas,roi_recalc,cpc,cpa,conversion_rate,revenue_per_click,avg_order_value
CMP_RLSDVN,PROD_HBJFA3,41770.45,4946,73,15520.09,1.94,CUST_1K7G39,Premium,4,FLASH_1VFK5K,43,34,BNDL_29U6W5,433.8,4,Affordable,0.3715566866050043,-0.6284433133949957,8.445299231702386,572.1979452054794,0.014759401536595228,3.1379073999191265,212.60397260273973
CMP_JHHUE9,PROD_OE8YNJ,29900.93,570,510,30866.17,0.76,CUST_0DWS6F,Premium,4,FLASH_1M6COK,28,97,BNDL_ULV60J,289.29,2,Innovative,1.0322812701812285,0.03228127018122841,52.45777192982456,58.62927450980392,0.8947368421052632,54.15117543859649,60.52190196078431
CMP_6SBOWN,PROD_4V8A08,22367.45,3546,265,32585.62,1.41,CUST_BR2GST,Basic,9,FLASH_J4PEON,51,160,BNDL_0HY0EF,462.87,4,Affordable,1.4568321377716278,0.4568321377716279,6.3077975183305135,84.40547169811322,0.07473209249858996,9.189402143260011,122.9646037735849
CMP_Q31QCU,PROD_A1Q6ZB,29957.54,2573,781,95740.12,3.32,CUST_6TBY6K,Premium,32,FLASH_1TOVXT,36,159,BNDL_AI09BC,334.16,1,Durable,3.1958605412861,2.1958605412860996,11.643039253789352,38.35792573623559,0.3035367275553828,37.20952973183054,122.58658130601792
CMP_AY0UTJ,PROD_F57N66,36277.19,818,79,81990.43,3.53,CUST_XASI45,Standard,29,FLASH_AOBHXL,20,52,BNDL_R03ITT,371.67,2,Affordable,2.2601097273520905,1.2601097273520907,44.348643031784846,459.20493670886077,0.09657701711491443,100.23279951100244,1037.8535443037974
CMP_5F4E9W,PROD_2CF719,41159.74,1259,763,65792.3,0.77,CUST_GH04I5,Basic,31,FLASH_9E2DOQ,17,88,BNDL_2AM8LH,194.93,2,Affordable,1.5984624781400467,0.5984624781400467,32.69240667196187,53.94461336828309,0.6060365369340747,52.25758538522637,86.22844036697248
CMP_WDWHH6,PROD_QN8SL7,32787.71,3882,29,54205.71,4.84,CUST_TRQ4H8,Basic,9,FLASH_LS82UL,44,75,BNDL_XBACO2,232.09,1,Stylish,1.6532325679347537,0.6532325679347536,8.446087068521381,1130.6106896551723,0.007470376094796497,13.963346213292118,1869.1624137931035
CMP_JECPN0,PROD_FN0KK1,38372.99,230,350,82083.18,0.74,CUST_XOGUSD,Premium,18,FLASH_V2S3TB,31,26,BNDL_EXVF5I,211.59,4,Stylish,2.1390874153929627,1.1390874153929624,166.83908695652173,109.63711428571428,1.5217391304347827,356.8833913043478,234.5233714285714
CMP_WWJQBU,PROD_12IBBU,13332.96,4657,349,95260.16,0.75,CUST_5RON6U,Premium,2,FLASH_ILCNCW,29,78,BNDL_ZIETKV,495.94,4,Affordable,7.144712051937455,6.144712051937455,2.8629933433540904,38.20332378223495,0.07494094910886837,20.455263044878677,272.9517478510029
CMP_G2GXC0,PROD_HBPOK5,33407.18,3027,963,25569.45,2.15,CUST_VPSNHS,Basic,35,FLASH_PEQKQB,14,149,BNDL_MMC7NN,488.82,2,Durable,0.7653878597355419,-0.2346121402644581,11.03639907499174,34.69073727933541,0.31813676907829536,8.447125867195243,26.551869158878507
CMP_COTQ6A,PROD_5TH0MN,11456.22,4449,331,67630.55,2.37,CUST_FQ9NI5,Standard,33,FLASH_0JAK49,19,143,BNDL_HBLYHN,266.61,2,Durable,5.90339134548743,4.90339134548743,2.5750101146325015,34.610936555891236,0.07439874129017757,15.201292425264105,204.32190332326286
CMP_QJG0E7,PROD_OUBE8M,43196.51,3528,323,63178.82,4.42,CUST_Z76S5K,Standard,8,FLASH_DT3S2P,35,142,BNDL_VTKX1I,417.97,3,Stylish,1.4625908435658344,0.4625908435658343,12.243908730158731,133.73532507739938,0.09155328798185941,17.907828798185943,195.60006191950464
CMP_QDIN64,PROD_IMDJIH,41208.27,2385,326,62705.47,4.93,CUST_L86JDL,Premium,23,FLASH_DAX2UB,41,158,BNDL_BDVQUD,193.41,2,Innovative,1.5216719847739302,0.5216719847739303,17.278100628930815,126.40573619631901,0.13668763102725368,26.291601677148847,192.34806748466258
CMP_6EYKF8,PROD_QMDKTA,18180.18,2659,642,10906.87,3.96,CUST_4T8DV2,Premium,32,FLASH_NN061T,34,40,BNDL_YYI2SP,361.68,2,Innovative,0.5999319038645382,-0.4000680961354618,6.837224520496427,28.318037383177572,0.24144415193681834,4.101869123730726,16.988894080996886
CMP_3B83ZB,PROD_J71W0E,4189.15,1087,790,82691.34,3.43,CUST_ZCNXN7,Standard,6,FLASH_EWJRGF,62,120,BNDL_GQ1LUF,298.45,3,Stylish,19.739407755749973,18.739407755749976,3.853863845446182,5.302721518987341,0.7267709291628335,76.07298988040478,104.672582278481
CMP_HMY8JT,PROD_HB4HQ9,35505.09,868,309,22019.07,1.98,CUST_A015S4,Standard,23,FLASH_VS103U,31,185,BNDL_JW9VJE,209.6,4,Affordable,0.620166573299772,-0.379833426700228,40.90448156682027,114.90320388349514,0.35599078341013823,25.367592165898618,71.25912621359222
CMP_2TQ2R2,PROD_DV9KP8,4790.99,2872,940,81902.94,3.85,CUST_67QGEO,Premium,28,FLASH_5YP5BG,59,64,BNDL_YME8D2,233.93,2,Stylish,17.09520161803719,16.09520161803719,1.6681720055710305,5.096797872340425,0.32729805013927576,28.51773676880223,87.13078723404256
CMP_L4JQT7,PROD_IX0GZB,15891.2,1582,706,38536.95,4.17,CUST_6XK9SH,Basic,24,FLASH_1NCFSM,16,102,BNDL_3DH9UA,199.02,1,Stylish,2.425049713048731,1.4250497130487312,10.045006321112517,22.508781869688388,0.44627054361567636,24.359639696586598,54.5849150141643
CMP_E6LF3E,PROD_O4D7ED,13009.17,1332,580,50091.17,3.51,CUST_O2FW1J,Basic,27,FLASH_D6C2I2,20,80,BNDL_8DJT78,154.4,1,Affordable,3.85045087426792,2.85045087426792,9.766644144144145,22.429603448275863,0.43543543543543545,37.605983483483485,86.36408620689654
CMP_56NUT9,PROD_HKCV8M,47193.29,3585,791,56029.73,1.55,CUST_KI8W0Y,Premium,25,FLASH_3GF57H,59,106,BNDL_XTOKZ5,384.44,1,Affordable,1.1872393299979722,0.18723932999797221,13.164097629009763,59.66281921618205,0.2206415620641562,15.628934449093446,70.83404551201012
CMP_MTSCPC,PROD_I50ZPO,36564.68,4331,108,46426.93,1.23,CUST_MQHTJY,Premium,21,FLASH_UX849D,31,177,BNDL_4EPPS3,410.3,3,Durable,1.2697206703299468,0.26972067032994684,8.44254906488109,338.5618518518518,0.024936504271530824,10.719679057954282,429.8789814814815
CMP_79B4D2,PROD_RNMDRM,37864.68,1888,947,23255.86,1.94,CUST_J48W8R,Basic,14,FLASH_EPDH55,33,179,BNDL_EVPKVC,443.24,4,Durable,0.6141834553995967,-0.3858165446004033,20.05544491525424,39.98382259767688,0.5015889830508474,12.317722457627118,24.55740232312566
CMP_R7NKS6,PROD_6J3P75,18632.1,497,91,68453.18,4.25,CUST_PGXPFG,Basic,1,FLASH_787SYL,31,102,BNDL_D4KR0X,227.11,3,Innovative,3.673937988739863,2.673937988739863,37.489134808853116,204.74835164835164,0.18309859154929578,137.7327565392354,752.2327472527472
CMP_K56KCP,PROD_UI3FQD,38985.39,3848,411,99186.53,4.86,CUST_3IR8Q2,Standard,6,FLASH_SZXBKS,10,137,BNDL_8E9R1S,252.01,2,Affordable,2.5441974544823074,1.5441974544823074,10.131338357588357,94.85496350364963,0.10680873180873181,25.77612525987526,241.32975669099756
CMP_AH9THQ,PROD_2Z434D,47081.65,1816,129,54481.48,1.14,CUST_2JZ3V8,Basic,21,FLASH_VYH0TP,53,176,BNDL_S1DRLI,392.36,4,Stylish,1.157170150154041,0.15717015015404093,25.92601872246696,364.97403100775193,0.0710352422907489,30.00081497797357,422.3370542635659
CMP_OVHUTO,PROD_2SXWO6,8809.37,4867,385,8356.41,2.8,CUST_1HHY8V,Premium,10,FLASH_K3JYFS,63,72,BNDL_J2L1Z8,445.15,3,Stylish,0.9485820211888023,-0.05141797881119772,1.8100205465379084,22.881480519480522,0.07910417094719539,1.7169529484281898,21.704961038961038
CMP_BK60GL,PROD_VXSLGY,37643.5,3700,521,93046.27,2.71,CUST_15E44Q,Premium,28,FLASH_CYT033,68,197,BNDL_2405HF,201.44,1,Affordable,2.471775206875025,1.471775206875025,10.173918918918918,72.25239923224568,0.14081081081081082,25.147640540540543,178.59168905950096
CMP_BU8KJK,PROD_YAU41E,6806.29,4039,352,45830.03,4.2,CUST_O1XI91,Basic,32,FLASH_JIELL8,21,41,BNDL_57NW0Q,119.94,4,Durable,6.7334818234309735,5.7334818234309735,1.6851423619707848,19.336051136363636,0.08715028472394157,11.346875464223817,130.19894886363636
CMP_U5QFJH,PROD_MIE14F,39917.29,1808,42,94641.55,3.68,CUST_FZLWY6,Standard,28,FLASH_8DGR0E,54,51,BNDL_RMMMWR,443.08,2,Durable,2.3709412637982186,1.3709412637982188,22.078147123893807,950.4116666666666,0.023230088495575223,52.34599004424779,2253.370238095238
CMP_Y5QZFB,PROD_NYD8HM,29926.86,1946,349,24857.92,4.03,CUST_86CT16,Standard,2,FLASH_TNGRO6,18,155,BNDL_6KVIQE,343.23,3,Affordable,0.8306223907219132,-0.1693776092780867,15.378653648509763,85.75031518624643,0.17934224049331962,12.773854059609455,71.22613180515759
CMP_T5NVJR,PROD_JG6XUM,18360.77,3224,138,10462.13,1.19,CUST_V1H6F5,Standard,17,FLASH_X6Y9KO,49,12,BNDL_DQUD3P,472.55,2,Innovative,0.5698088914571665,-0.4301911085428335,5.695027915632754,133.0490579710145,0.042803970223325064,3.2450775434243173,75.81253623188405
CMP_HB48DO,PROD_8RK1I8,35293.04,431,709,51133.0,2.11,CUST_9VG4PY,Standard,6,FLASH_D1BVZR,65,110,BNDL_LW1GHA,75.39,3,Innovative,1.448812570410483,0.44881257041048317,81.88640371229698,49.77861777150917,1.6450116009280742,118.63805104408353,72.11988716502115
CMP_JGU6CL,PROD_EG6QA9,25309.05,2240,251,28767.29,1.96,CUST_Z7UV7J,Premium,12,FLASH_8H13G4,48,75,BNDL_QRMG3Z,73.51,2,Affordable,1.1366404507478551,0.13664045074785508,11.298683035714285,100.83286852589642,0.11205357142857143,12.84254017857143,114.6107171314741
CMP_N2RDBI,PROD_OCZ0NI,16560.12,2203,62,88344.56,4.15,CUST_AHWFJ9,Basic,6,FLASH_ZCTDJP,53,113,BNDL_JXR0CU,290.98,3,Stylish,5.334777767310865,4.334777767310865,7.517076713572401,267.0987096774193,0.02814344076259646,40.10193372673627,1424.912258064516
CMP_3DZDCY,PROD_R5VE1H,38686.06,3098,115,59161.53,2.53,CUST_4X7CB2,Standard,21,FLASH_2RHZRO,63,194,BNDL_XO23NL,134.18,3,Innovative,1.5292725596765346,0.5292725596765347,12.487430600387347,336.4005217391304,0.03712072304712718,19.096684958037443,514.4480869565217
CMP_ZINYYP,PROD_YK2KUD,10936.71,2719,29,5333.62,2.91,CUST_D7WHCT,Premium,19,FLASH_6BWLXK,36,21,BNDL_6MI23J,495.73,4,Affordable,0.4876804816073573,-0.5123195183926428,4.022328061787421,377.12793103448274,0.010665685913938948,1.9616108863552777,183.91793103448276
CMP_J3P16J,PROD_Y9Q4TT,27815.5,2547,441,11138.3,3.15,CUST_75UNOZ,Basic,33,FLASH_WYC527,33,124,BNDL_28SVFL,51.09,2,Affordable,0.40043500925742836,-0.5995649907425716,10.92088731841382,63.073696145124714,0.17314487632508835,4.37310561444837,25.256916099773242
CMP_73ZEYI,PROD_N6TJ3L,26529.02,1081,839,49134.7,3.17,CUST_OP1NV7,Standard,2,FLASH_G7L5WT,47,113,BNDL_O4ACGO,347.8,2,Affordable,1.8521113859464087,0.8521113859464088,24.54118408880666,31.619809296781884,0.7761332099907493,45.45300647548566,58.56340882002383
CMP_6LIAXU,PROD_FMQVT0,12292.15,1362,327,22019.92,0.88,CUST_V2EZ3I,Basic,23,FLASH_P58NTF,45,49,BNDL_YWCKWK,401.31,2,Durable,1.791380677912326,0.791380677912326,9.02507342143906,37.59067278287462,0.24008810572687225,16.16734214390602,67.33920489296635
CMP_I7T3C0,PROD_9O79YH,30877.02,1077,310,24046.81,4.93,CUST_3FS404,Basic,8,FLASH_IPTB5R,69,18,BNDL_AMA3F9,248.13,1,Innovative,0.7787930959658672,-0.2212069040341328,28.669470752089136,99.60329032258065,0.2878365831012071,22.327585886722378,77.57035483870968
CMP_PQE4BR,PROD_PAL55D,34299.57,3940,951,23264.81,2.18,CUST_WWPLKL,Premium,2,FLASH_G2S4KF,38,102,BNDL_Z12655,452.81,2,Innovative,0.6782828472776773,-0.3217171527223227,8.70547461928934,36.066845425867506,0.2413705583756345,5.904774111675128,24.463522607781286
