keyword,cpc,search_volume,competition,score,opp_score,intent
email marketing,1.74,27100,low,0.435,0.5063492063492063,generic
emailing marketing,1.74,27100,low,0.435,0.5063492063492063,generic
marketing emails,1.44,22200,low,0.36,0.5428571428571428,generic
email templates,0.91,9900,low,0.2275,0.7301587301587301,transactional
what is email advertising,0.49,6600,low,0.1225,0.8047619047619047,informational
what is email marketing,0.49,6600,low,0.1225,0.8047619047619047,informational
email marketing tools,2.43,5400,low,0.6075,0.4412698412698412,transactional
images of email,0.0,3600,low,0.0,1.0,misc
email images,0.0,3600,low,0.0,1.0,misc
image for email,0.0,3600,low,0.0,1.0,misc
e mail marketing meaning,0.22,1900,low,0.055,0.7968253968253968,informational
email marketing examples,1.02,1900,low,0.255,0.6380952380952382,informational
email advertising examples,1.02,1900,low,0.255,0.6380952380952382,informational
email marketing example,1.0,1900,low,0.25,0.6634920634920635,generic
email marketing sample,1.02,1900,low,0.255,0.6380952380952382,informational
examples of email marketing,1.02,1900,low,0.255,0.6380952380952382,informational
marketing email examples,1.02,1900,low,0.255,0.6380952380952382,informational
email marketing meaning,0.22,1900,low,0.055,0.7968253968253968,informational
marketing email sample,1.02,1900,low,0.255,0.6380952380952382,informational
marketing email templates,1.05,1900,low,0.2625,0.6031746031746031,transactional
email templates for marketing,1.05,1900,low,0.2625,0.6031746031746031,transactional
email promotion template,1.05,1900,low,0.2625,0.6031746031746031,transactional
email marketing template,1.64,1900,low,0.41,0.4793650793650793,transactional
marketing email template,1.05,1900,low,0.2625,0.6031746031746031,transactional
email marketing templates,1.05,1900,low,0.2625,0.6031746031746031,transactional
email campaign,2.69,1600,low,0.6725,0.3396825396825397,transactional
email campaigns,2.69,1600,low,0.6725,0.3396825396825397,transactional
jobs for email marketing,0.07,1600,low,0.0175,0.8031746031746031,career
marketing email jobs,0.07,1600,low,0.0175,0.8031746031746031,career
email advertising jobs,0.07,1600,low,0.0175,0.8031746031746031,career
email marketing careers,0.07,1600,low,0.0175,0.8031746031746031,career
careers in email marketing,0.07,1600,low,0.0175,0.8031746031746031,career
email marketing tools free,1.66,1600,low,0.415,0.419047619047619,transactional
free email marketing tools,1.66,1600,low,0.415,0.419047619047619,transactional
free mailer,2.37,1600,low,0.5925,0.36507936507936506,transactional
email marketing positions,0.07,1600,low,0.0175,0.8031746031746031,career
jobs in email marketing,0.07,1600,low,0.0175,0.8031746031746031,career
email marketing job,0.07,1600,low,0.0175,0.8031746031746031,career
emailing campaign,2.69,1600,low,0.6725,0.3396825396825397,transactional
email marketing jobs,0.07,1600,low,0.0175,0.8031746031746031,career
email marketing platform,2.02,1300,low,0.505,0.3650793650793651,transactional
email marketing platforms,2.02,1300,low,0.505,0.3650793650793651,transactional
email marketing software,2.36,1300,low,0.59,0.34285714285714286,transactional
e mail marketing course,1.25,1000,low,0.3125,0.4539682539682539,informational
email marketing definition,0.25,1000,low,0.0625,0.6888888888888888,informational
free email marketing tool,2.76,1000,low,0.69,0.2698412698412698,transactional
courses on email marketing,1.25,1000,low,0.3125,0.4539682539682539,informational
email-marketing course,1.25,1000,low,0.3125,0.4539682539682539,informational
email marketing free tools,2.76,1000,low,0.69,0.2698412698412698,transactional
email marketing class,1.25,1000,low,0.3125,0.4539682539682539,informational
